object_id,title,featured,creator,description,source_url,period,year,medium_genre,subjects,source,credit,thumbnail,alt_text
id_objeto,titulo,destacado,creador,descripcion,url_fuente,periodo,año,medio_genero,temas,fuente,credito,miniatura,texto_alt
# Make it lower-case and avoid spaces. If you are referring to a local object please ensure the object_id matches the name of the file exactly (with or without the file extension – it doesn't matter).,# Please provide a title — this is required.,"# Describe what the image shows for screen readers. Mention the subject and key details. Avoid ""Image of..."" — describe the content directly. If empty, the title is used.","# Mark ""yes"" to feature on homepage",# The person or organization that created the original object.,"# A brief description of the object, shown on the objects page of your published site.",# Here you can include a IIIF manifest and Telar will do the rest of the work for you.,"# The historical period this object belongs to (e.g. ""Colonial period"", ""19th century"").",# In YYYY format — for filtering and sorting chronologically.,"# The medium or genre of the object (e.g. ""Map"", ""Photograph"", ""Engraving"").",# Comma-separated terms for gallery filtering,"# This will be overlaid over the viewer, unless you specify otherwise in _config.yml.","# Attribution line shown on the published site (e.g. ""Courtesy of UCSB Library"").","# Telar generates thumbnails automatically, but you can override this by specifying an image file in this column."
"# Escríbelo en minúsculas y sin espacios. Si hace referencia a un objeto local, asegúrate de que el object_id coincida exactamente con el nombre del archivo (con o sin extensión; no importa).",# Incluye un título: este campo es obligatorio.,"# Describe lo que muestra la imagen para lectores de pantalla. Menciona el sujeto y los detalles clave. Evita ""Imagen de..."" — describe el contenido directamente. Si se deja vacío, se usa el título.","# Marca ""sí"" para destacar en la página de inicio",# La persona u organización que creó el objeto original.,"# Una breve descripción del objeto, que se muestra en la página de objetos de tu sitio publicado.",# Aquí puedes incluir un manifiesto IIIF y Telar se encargará del resto del trabajo.,"# El período histórico al que pertenece este objeto (por ejemplo, ""Período colonial"", ""Siglo XIX"").",# En formato AAAA — para filtrar y ordenar cronológicamente.,"# El medio o género del objeto (por ejemplo, ""Mapa"", ""Fotografía"", ""Grabado"").",# Términos separados por comas para filtrado de galería,"# Esto se mostrará encima del visor, a menos que indiques lo contrario en _config.yml.","# Línea de atribución que se muestra en el sitio publicado (por ejemplo, ""Cortesía de la Biblioteca de UCSB"").","# Telar genera miniaturas automáticamente, pero puedes anular este comportamiento especificando un archivo de imagen en esta columna."
screenshot-20260512-at-83621-pm,Map of Nazca,,Kevin J. Vaughn and Hector Neff,,,Nasca / archaeological study,2004,,,,,,Screenshot 2026-05-12 at 8.36.21 PM
screenshot-20260601-at-52059-pm,Screenshot 2026-06-01 at 5.20.59 PM,,,,,,,,,,"Courtesy of AD&A Museum, UC Santa Barbara",,Screenshot 2026-06-01 at 5.20.59 PM
screenshot-20260601-at-52240-pm,Vessel side up,,,,,,,,,,"Courtesy of AD&A Museum, UC Santa Barbara",,Vessel side up
screenshot-20260601-at-52246-pm,vessel side,,,,,,,,,,"Courtesy of AD&A Museum, UC Santa Barbara",,vessel side
screenshot-20260601-at-52257-pm,Vessel with colors,,,,,,,,,,"Courtesy of AD&A Museum, UC Santa Barbara",,Vessel with colors
screenshot-20260601-at-53352-pm,Gallery,,,,,,,,,,"Courtesy of Museo Larco, Lima, Peru",,Gallery
screenshot-20260601-at-53650-pm,Screenshot 2026-06-01 at 5.36.50 PM,,,,,,,,,https://www.artic.edu/artworks/91406/vessel-with-bird-beings,Courtesy of the Art Institute of Chicago,,Screenshot 2026-06-01 at 5.36.50 PM
screenshot-20260602-at-22638-pm,spotted cat,,Margarita,,,,2025,,,https://www.thewildlifediaries.com/cats-of-costa-rica/,https://www.thewildlifediaries.com/cats-of-costa-rica/,,Screenshot 2026-06-02 at 2.26.38 PM
screenshot-20260602-at-60604-pm,Three Vessels Comparison,,,"Figure 3. (Left) Double-spout Bottle with Shark, Nasca culture, Peru, South Coast, 1–400 CE, ceramic with slip, 17.1 × 17.1 × 17.1 cm, The Metropolitan Museum of Art, object no. 64.228.70, Gift of Mr. and Mrs. Nathan Cummings, 1964. (Middle) Double Spout Bottle, Nasca culture, Peru, Rio Grande de Nasca, 2nd–4th century CE, ceramic with slip, 11.4 × 11.4 cm, object no. 1992.60.7, Gift of Conny and Fred Landmann, 1992, courtesy of The Michael C. Rockefeller Wing. (Right) Bottle with Masked Figure, Nasca culture, Peru, South Coast, 200–400 CE, ceramic with slip, 13 × 11.4 cm, The Metropolitan Museum of Art, object no. 64.228.69, Gift of Mr. and Mrs. Nathan Cummings, 1964.",,,,,,,,,Three Vessels Comparison
telar-placeholder,Telar placeholder,,Adelaida Ávila,,,,2026,,,,,,Telar placeholder
